id,名称,地市,区县,级别,来源
1,平型关战役遗址,忻州市,繁峙县,county,county-centroid
2,八路军总司令部旧址,长治市,武乡县,approx,amap-poi:八路军总司令部北村旧址
12,丁村遗址,临汾市,临汾县,approx,amap-poi:丁村遗址
19,丁村民宅,临汾市,襄汾县,county,county-centroid
33,平城遗址,大同市,,county,county-centroid
36,许家窑－侯家窑遗址,大同市,阳高县,approx,amap
50,霍州州署大堂,临汾市,霍州市,county,county-centroid
52,万荣后土庙,运城市,万荣县,county,county-centroid
55,晋绥边区政府及军区司令部旧址,吕梁市,兴县,county,county-centroid
82,兴东垣东岳庙,吕梁市,石楼县,approx,amap
85,沁县大云院,长治市,沁县,county,county-centroid
100,浑源永安寺,大同市,浑源县,county,county-centroid
102,三峻庙,长治市,壶关县,approx,amap-poi:辛庄三峻庙
120,塔水河遗址,晋城市,陵川县,approx,amap-poi:塔水河
121,上郭城址和邱家庄墓群,运城市,闻喜县,approx,amap
122,南村城址,吕梁市,方山县,approx,amap
123,黄河栈道遗址,运城市,平陆县,county,county-centroid
125,洪山窑址,晋中市,介休市,approx,amap
127,沙梁坡墓群,大同市,天镇县,county,county-centroid
129,王家峰墓群,太原市,,county,county-centroid
132,老君洞,临汾市,浮山县,county,county-centroid
137,安禅寺,晋中市,太谷县,approx,amap-poi:太谷师范附属小学安禅寺
138,无边寺,晋中市,太谷县,approx,amap-poi:无边寺白塔
147,禅房寺塔,大同市,,approx,amap
164,二郞庙,晋城市,高平市,county,county-centroid
165,真圣寺,晋中市,太谷县,approx,amap-poi:真圣寺
199,宝峰寺,长治市,屯留县,approx,amap-poi:杨暴宝峰寺
206,光化寺,晋中市,太谷县,approx,amap-poi:光化寺
210,景云宫玉皇殿,运城市,绛县,approx,amap-poi:玉皇殿
211,大洋泰山庙,运城市,夏县,approx,amap
222,乔泽庙戏台,临汾市,翼城县,county,county-centroid
224,碛口古建筑群,吕梁市,临县,approx,amap
230,郭壁村古建筑群,晋城市,沁水县,county,county-centroid
234,代县文庙,忻州市,代县,county,county-centroid
237,郭峪村古建筑群,晋城市,阳城县,approx,amap
238,孟家沟龙泉寺,晋中市,寿阳县,approx,amap
240,曹家大院,晋中市,太谷县,approx,amap-poi:曹家大院
241,净信寺,晋中市,太谷县,approx,amap-poi:净信寺
258,师家沟古建筑群,临汾市,汾西县,county,county-centroid
270,山西省立第三中学旧址,大同市,,county,county-centroid
271,黄崖洞兵工厂旧址,长治市,黎城县,county,county-centroid
272,五台山古建筑群,忻州市,五台县,county,county-centroid
273,古交遗址,太原市,古交市,approx,amap
275,梁村遗址,晋中市,祁县,approx,amap
278,东庄遗址,运城市,芮城县,approx,amap
287,猗氏故城,运城市,临猗县,approx,amap
290,山王墓地,运城市,河津市,approx,amap
292,西周黎侯墓群,长治市,黎城县,approx,amap
296,郎寨砖塔,临汾市,安泽县,approx,amap
297,先师和尚舍利塔,长治市,屯留县,approx,amap-poi:先师和尚舍利塔
306,南阳村寿圣寺塔,运城市,万荣县,approx,amap
311,大周村古寺庙建筑群,晋城市,高平市,approx,amap
331,苇则寿圣寺,晋中市,左权县,approx,amap
335,庄头天仙庙,长治市,壶关县,approx,amap
344,南庄玉皇庙,晋城市,高平市,approx,amap
346,马厂崇教寺,长治市,郊区,county,county-centroid
372,李庄武庙,长治市,潞城市,county,county-centroid
373,石末宣圣庙,晋城市,高平市,approx,amap
382,石室蓬莱宫,长治市,屯留县,approx,amap-poi:蓬莱宫
389,新村妙觉寺,晋中市,太谷县,approx,amap-poi:新村妙觉寺
390,范村圆智寺,晋中市,太谷县,approx,amap-poi:圆智寺
398,陈廷敬故居,晋城市,阳城县,county,county-centroid
411,北依涧永福寺过殿,晋中市,平遥县,approx,amap
426,古交千佛寺,太原市,古交市,approx,amap
429,雷履泰旧居,晋中市,平遥县,county,county-centroid
442,七里脚千佛洞石窟,临汾市,隰县,approx,amap
444,山西铭贤学校旧址,晋中市,太谷县,approx,amap-poi:山西铭贤学校旧址(不对外开放)
449,孔家大院,晋中市,太谷县,county,county-centroid
450,南茹八路军总部旧址,忻州市,五台县,approx,amap
455,碧村遗址,吕梁市,兴县,approx,amap
457,南梁古城遗址,临汾市,翼城县,approx,amap
458,苇沟—北寿城遗址,临汾市,翼城县,approx,amap
462,汾阳宫遗址,忻州市,宁武县,county,county-centroid
463,陶寺北墓地,临汾市,襄汾县,approx,amap
464,沙岭墓群,大同市,平城区,county,county-centroid
465,上党西岩寺塔,长治市,上党区,county,county-centroid
474,峪口圣母庙,吕梁市,汾阳市,approx,amap
478,西下庄昭泽王庙,长治市,黎城县,approx,amap
509,五台山南山寺,忻州市,五台县,county,county-centroid
520,挂甲山摩崖造像,临汾市,吉县,county,county-centroid
528,晋绥日报社旧址,吕梁市,兴县,county,county-centroid
529,小李村太岳行署旧址,临汾市,安泽县,approx,amap
532,临县中央后委机关旧址,吕梁市,临县,county,county-centroid
