序号,名称,朝代,最早朝代,朝代排序值,地址,地市,区县,类型,批次,编号,年度,访古等级
1,平型关战役遗址,1937年,近现代,1937,山西省繁峙县,忻州市,繁峙县,近现代/革命史迹,第一批,25,1961,可选
2,八路军总司令部旧址,1938年,近现代,1938,山西省武乡县,长治市,武乡县,近现代/革命史迹,第一批,26,1961,可选
3,云冈石窟,北魏,北魏,386,山西省大同市,大同市,,石窟寺及石刻,第一批,34,1961,必去
4,佛宫寺释迦塔（应县木塔）,辽,辽,916,山西省应县,朔州市,应县,古建筑,第一批,71,1961,必去
5,南禅寺大殿,唐,唐,618,山西省五台县,忻州市,五台县,古建筑,第一批,79,1961,必去
6,佛光寺,唐至清,唐,618,山西省五台县,忻州市,五台县,古建筑,第一批,80,1961,必去
7,晋祠,宋,宋,960,山西省太原市,太原市,,古建筑,第一批,85,1961,必去
8,善化寺,辽、金,辽,916,山西省大同市,大同市,,古建筑,第一批,88,1961,必去
9,华严寺,辽、金、清,辽,916,山西省大同市,大同市,,古建筑,第一批,91,1961,必去
10,永乐宫,元,元,1271,山西省芮城县,运城市,芮城县,古建筑,第一批,93,1961,必去
11,广胜寺,元、明,元,1271,山西省洪洞县,临汾市,洪洞县,古建筑,第一批,96,1961,必去
12,丁村遗址,旧石器时代,旧石器时代,-10000,山西省临汾县,临汾市,临汾县,古遗址,第一批,137,1961,可选
13,侯马晋国遗址,东周,东周,-770,山西省侯马市,临汾市,侯马市,古遗址,第一批,146,1961,可选
14,白求恩模范病室旧址,1938年,近现代,1938,山西省五台县,忻州市,五台县,近现代/革命史迹,第二批,7,1982,可选
15,岩山寺,金,金,1115,山西省繁峙县,忻州市,繁峙县,古建筑,第二批,23,1982,推荐
16,显通寺,明至清,明,1368,山西省五台县,忻州市,五台县,古建筑,第二批,26,1982,推荐
17,悬空寺,明,明,1368,山西省浑源县,大同市,浑源县,古建筑,第二批,30,1982,必去
18,平遥城墙,明,明,1368,山西省平遥县,晋中市,平遥县,古建筑,第三批,60,1988,必去
19,丁村民宅,明至清,明,1368,山西省襄汾县,临汾市,襄汾县,古建筑,第三批,87,1988,推荐
20,法兴寺,唐,唐,618,山西省长子县,长治市,长子县,古建筑,第三批,106,1988,推荐
21,天台庵,唐,唐,618,山西省平顺县,长治市,平顺县,古建筑,第三批,107,1988,必去
22,青莲寺,唐至清,唐,618,山西省晋城市,晋城市,,古建筑,第三批,110,1988,推荐
23,镇国寺,五代至清,五代,907,山西省平遥县,晋中市,平遥县,古建筑,第三批,111,1988,必去
24,大云院,五代至清,五代,907,山西省平顺县,长治市,平顺县,古建筑,第三批,112,1988,必去
25,玉皇庙,宋至清,宋,960,山西省晋城市,晋城市,,古建筑,第三批,113,1988,推荐
26,崇福寺,金,金,1115,山西省朔县,朔州市,朔县,古建筑,第三批,117,1988,必去
27,双林寺,明,明,1368,山西省平遥县,晋中市,平遥县,古建筑,第三批,120,1988,必去
28,万荣东岳庙,元至清,元,1271,山西省万荣县,运城市,万荣县,古建筑,第三批,129,1988,推荐
29,解州关帝庙,清,清,1644,山西省运城市,运城市,,古建筑,第三批,130,1988,推荐
30,西侯度遗址,旧石器时代,旧石器时代,-10000,山西省芮城县,运城市,芮城县,古遗址,第三批,182,1988,可选
31,陶寺遗址,新石器时代,新石器时代,-5000,山西省襄汾县,临汾市,襄汾县,古遗址,第三批,192,1988,可选
32,禹王城遗址,东周至汉,东周,-770,山西省夏县,运城市,夏县,古遗址,第三批,205,1988,可选
33,平城遗址,北魏,北魏,386,山西省大同市,大同市,,古遗址,第三批,215,1988,可选
34,广武汉墓群,汉,汉,-206,山西省山阴县,朔州市,山阴县,古墓葬,第三批,236,1988,可选
35,司马光墓,北宋,北宋,960,山西省夏县,运城市,夏县,古墓葬,第三批,246,1988,可选
36,许家窑－侯家窑遗址,旧石器时代,旧石器时代,-10000,山西省阳高县,大同市,阳高县,古遗址,第四批,2,1996,可选
37,西阴村遗址,新石器时代,新石器时代,-5000,山西省夏县,运城市,夏县,古遗址,第四批,5,1996,可选
38,旌介遗址,商,商,-1600,山西省灵石县,晋中市,灵石县,古遗址,第四批,24,1996,可选
39,曲村－天马遗址,周,周,-1046,山西省曲沃县,临汾市,曲沃县,古遗址,第四批,26,1996,可选
40,龙门寺,五代至清,五代,907,山西省平顺县,长治市,平顺县,古建筑,第四批,92,1996,必去
41,晋城二仙庙,宋,宋,960,山西省晋城市,晋城市,,古建筑,第四批,97,1996,小众
42,崇庆寺,宋,宋,960,山西省长子县,长治市,长子县,古建筑,第四批,98,1996,推荐
43,关王庙,宋,宋,960,山西省阳泉市,阳泉市,,古建筑,第四批,99,1996,小众
