序号,名称,地市,朝代,营造学社,营造学社来源
3,云冈石窟,大同市,北魏,详测,《云冈石窟中所表现的北魏建筑》1933
4,佛宫寺释迦塔（应县木塔）,朔州市,辽,到访,测绘记录（报告未发表）
6,佛光寺,忻州市,唐至清,详测,《记五台山佛光寺的建筑》1944
7,晋祠,太原市,宋,详测,《晋汾古建筑预查纪略》1935
8,善化寺,大同市,辽、金,详测,《大同古建筑调查报告》1933
9,华严寺,大同市,辽、金、清,详测,《大同古建筑调查报告》1933
11,广胜寺,临汾市,元、明,详测,《晋汾古建筑预查纪略》1935
17,悬空寺,大同市,明,到访,行程照片记录
44,则天庙,吕梁市,金,详测,《晋汾古建筑预查纪略》1935
68,介休后土庙,晋中市,明、清,详测,《晋汾古建筑预查纪略》1935
81,平遥文庙,晋中市,金至清,详测,《晋汾古建筑预查纪略》1935
84,太符观,吕梁市,金至清,详测,《晋汾古建筑预查纪略》1935
87,资寿寺,晋中市,明,详测,《晋汾古建筑预查纪略》1935
100,浑源永安寺,大同市,元,到访,行程照片记录
233,文峰塔,吕梁市,明至清,详测,《晋汾古建筑预查纪略》1935
436,大同观音堂,大同市,清,到访,行程照片记录
